"","app_name","category.x","price.x","rating.x","rating_count.x","size_bytes_Mb.x","player_age.x","version.x","source.x","category.y","price.y","rating.y","rating_count.y","size_bytes_Mb.y","player_age.y","version.y","source.y"
"1","aa","Games",0,4.5,158845,11,"4+","1.5.3","apple","Education",0,4.2,"886418",6.5,"4+","1.7.3","google"
"2","Adobe Illustrator Draw","Productivity",0,4.5,3215,103,"4+","4.1.1","apple","Photo and Video",0,4.4,"65766",NA,"4+","3.4.23","google"
"3","ADP Mobile Solutions","Business",0,4,8324,51,"4+","2.8.2","apple","Business",0,4.3,"85185",29,"4+","3.4.2","google"
"4","Afterlight","Photo and Video",0.99,4.5,14057,73,"4+","3.2","apple","Photo and Video",0,4.3,"50893",35,"4+","1.0.6","google"
"5","Agar.io","Games",0,4.5,176514,61,"9+","1.7.1","apple","Games",0,4.2,"3816799",32,"4+","2.2.8","google"
"6","Airbnb","Travel",0,4,22302,232,"4+","17.22","apple","Travel",0,4.4,"359403",NA,"4+",NA,"google"
"7","AirWatch Agent","Business",0,2.5,1150,24,"4+","5.5","apple","Business",0,3.1,"20973",31,"4+","8.2.0.84","google"
"8","AJ Jump: Animal Jam Kangaroos!","Games",1.99,4.5,834,153,"4+","1.6","apple","Games",1.99,4.4,"2975",42,"4+","1.6","google"
"9","Alizay, pirate girl","Book",2.99,4.5,14,178,"4+","4.0.2","apple","Education",2.99,4.5,"197",11,"4+","4.0.2","google"
"10","Allrecipes Dinner Spinner","Food and Drink",0,3.5,109349,35,"12+","6.3","apple","Food and Drink",0,4.5,"61881",NA,"4+",NA,"google"
"11","Alto's Adventure","Games",4.99,4.5,7824,123,"9+","1.4.2","apple","Games",0,4.6,"515657",63,"4+","1.7.1","google"
"12","Amazon Prime Video","Entertainment",0,4,43667,66,"12+","4.4.1","apple","Entertainment",0,4.2,"411683",24,"12+","3.0.231.18141","google"
"13","AMC","Entertainment",0,2,3105,57,"12+","1.10.6","apple","Education",0,3.2,"20843",14,"12+","3.3.85 (2)","google"
"14","Amex Mobile","Finance",0,4,11421,101,"4+","5.21.1","apple","Finance",0,4.3,"24729",32,"4+","6.7.0","google"
"15","AnatomyMapp","Medical",9.99,3.5,23,100,"4+","1.5","apple","Medical",14.99,4.1,"80",48,"4+","1.0","google"
"16","Angry Birds 2","Games",0,4,109104,426,"4+","2.13.0","apple","Games",0,4.6,"3883589",57,"4+","2.21.1","google"
"17","Angry Birds Blast","Games",0,4.5,24878,124,"4+","1.3.5","apple","Education",0,4.6,"253115",99,"4+","1.6.4","google"
"18","Angry Birds Epic RPG","Games",0,4.5,84680,555,"4+","2.1.2","apple","Education",0,4.5,"2634605",63,"4+","3.0.27430.4799","google"
"19","Angry Birds Friends","Games",0,4,23655,182,"4+","3.4.0","apple","Games",0,4.2,"829753",48,"4+","4.9.0","google"
"20","Angry Birds Go!","Games",0,4,75793,476,"4+","2.6.3","apple","Games",0,4.2,"3846378",82,"4+","2.8.2","google"
"21","Angry Birds Rio","Games",0,4.5,170843,132,"4+","2.6.6","apple","Games",0,4.4,"2610526",46,"4+","2.6.9","google"
"22","Angry Birds Space HD","Games",0,4,39502,163,"4+","2.2.12","apple","Games",0,4.5,"43645",46,"4+","2.2.13","google"
"23","Angry Birds Star Wars","Games",0,4.5,34138,169,"4+","1.5.11","apple","Games",0,4.3,"1218055",45,"4+","1.5.12","google"
"24","Animal Jam - Play Wild!","Games",0,4.5,26990,592,"9+","14.0","apple","Education",0,4.6,"361970",58,"4+","28.0.14","google"
"25","Ao Oni2","Games",0,4,7,83,"12+","1.5.0","apple","Games",0,4.1,"21223",48,"12+","1.6.6","google"
"26","Army of Heroes","Games",0,4.5,1235,146,"12+","1.02.08","apple","Education",0,4.5,"85015",46,"9+","1.03.06","google"
"27","ASOS","Shopping",0,5,9725,135,"4+","3.4.1","apple","Shopping",0,4.7,"181798",22,"4+","4.4.9","google"
"28","Asphalt 8: Airborne","Games",0,4.5,188568,1696,"12+","3.0.0","apple","Games",0,4.5,"8389714",92,"12+","3.7.1a","google"
"29","Assassin's Creed Identity","Games",4.99,4,3517,2421,"12+","2.8.2","apple","Games",1.99,3.7,"42529",92,"12+","2.8.2","google"
"30","Bad Piggies","Games",0,4.5,26259,248,"4+","2.3.3","apple","Education",0,4.3,"1168959",66,"4+","2.3.3","google"
"31","Bad Piggies HD","Games",0,4.5,19018,248,"4+","2.3.3","apple","Education",0,4.4,"764967",69,"4+","2.3.4","google"
"32","Baldur's Gate: Enhanced Edition","Games",9.99,4,1454,2328,"12+","1.3.1","apple","Education",9.99,4.5,"20101",7.8,"12+","1.3","google"
"33","Battlefield™ Companion","Social Networking",0,2.5,689,56,"12+","3.0.4","apple","Games",0,4,"263907",62,"9+","3.0.4","google"
"34","Battleheart Legacy","Games",4.99,4.5,3376,848,"12+","1.3.1","apple","Education",4.99,4.6,"7420",7.4,"12+","1.2.5","google"
"35","Bejeweled Blitz","Games",0,4,221002,87,"4+","1.29.1","apple","Education",0,4.2,"222664",98,"4+","2.6.0.125","google"
"36","Bejeweled Classic","Games",0,4.5,183259,95,"4+","2.1","apple","Education",0,4.4,"203101",NA,"4+",NA,"google"
"37","Best Buy","Shopping",0,4,80424,172,"4+","10.11.0","apple","Shopping",0,4.4,"186116",34,"4+","11.6.0","google"
"38","BET NOW - Watch Shows","Entertainment",0,2.5,967,36,"17+","3.3.0","apple","Entertainment",0,4.2,"14807",19,"12+","11.45.0","google"
"39","Bible","Utilities",0,4.5,985920,88,"4+","7.5.1","apple","Book",0,4.7,"2440695",NA,"12+",NA,"google"
"40","Bike Unchained","Games",0,4,629,520,"4+","1.15","apple","Sports",0,4.3,"83545",23,"4+","1.193","google"
"41","Bloons TD 5","Games",2.99,4.5,42078,108,"9+","3.8.3","apple","Education",2.99,4.6,"190086",94,"4+","3.16","google"
"42","Boom Beach","Games",0,4.5,241929,147,"9+","30.125","apple","Education",0,4.5,"5591653",95,"9+","35.119","google"
"43","Boomerang from Instagram","Photo and Video",0,3.5,2373,15,"4+","1.4.2","apple","Photo and Video",0,4.4,"928720",NA,"4+",NA,"google"
"44","Bullet Force","Games",0,4.5,9289,478,"17+","1.05","apple","Games",0,4.5,"634159",58,"12+","1.40","google"
"45","Call of Duty®: Heroes","Games",0,4.5,179416,201,"12+","4.0.1","apple","Games",0,4.4,"1604146",57,"12+","4.8.0","google"
"46","Can Knockdown 3","Games",1.99,4.5,1135,144,"4+","1.30","apple","Games",0,4.1,"349503",19,"4+","1.31","google"
"47","Candy Crush Jelly Saga","Games",0,4,32395,187,"4+","1.42.13","apple","Games",0,4.3,"1300490",78,"4+","2.1.10","google"
"48","Candy Crush Saga","Games",0,4.5,961794,213,"4+","1.101.0","apple","Games",0,4.4,"22426677",74,"4+","1.129.0.2","google"
"49","Candy Crush Soda Saga","Games",0,4.5,133394,231,"4+","1.91.5","apple","Games",0,4.4,"6198563",67,"4+","1.118.4","google"
"50","Cartoon Wars 3","Games",0,4,979,118,"12+","150","apple","Education",0,4.1,"137674",72,"12+","2.0.2","google"
"51","Chase Mobile","Finance",0,4.5,34322,33,"4+","3.620","apple","Finance",0,4.6,"1374549",32,"4+","3.52","google"
"52","Chick-fil-A","Food and Drink",0,3.5,5665,92,"4+","5.9.1","apple","Food and Drink",0,4.3,"28008",17,"4+","6.0.1","google"
"53","Choices: Stories You Play","Games",0,4.5,33698,104,"12+","1.9.0","apple","Games",0,4.6,"807338",93,"12+","2.3.5","google"
"54","Citi Mobile®","Finance",0,3.5,48822,268,"4+","8.5.0","apple","Finance",0,4,"78306",46,"4+","9.9.0","google"
"55","Clash of Clans","Games",0,4.5,2130805,111,"9+","9.24.12","apple","Games",0,4.6,"44891723",98,"9+","10.322.16","google"
"56","Clash Royale","Games",0,4.5,266921,109,"9+","1.8.2","apple","Games",0,4.6,"23133508",97,"9+","2.3.2","google"
"57","ClassDojo","Education",0,4.5,35440,76,"4+","4.8.3","apple","Education",0,4.4,"148550",59,"4+","4.21.1","google"
"58","Cooking Fever","Games",0,4.5,107797,102,"4+","2.3.1","apple","Games",0,4.5,"3197865",82,"4+","2.8.0","google"
"59","Crazy Freekick","Games",0,4.5,228,32,"4+","1.0.5","apple","Sports",0,3.9,"47688",17,"4+","1.0.15","google"
"60","Cytus","Games",1.99,5,7925,1488,"4+","10.0.0","apple","Games",0,4.7,"541732",20,"4+","10.0.10","google"
"61","DB Navigator","Travel",0,3.5,512,81,"4+","17.04.00","apple","Navigation",0,4,"119685",20,"4+","18.06.p03.02","google"
"62","Deck Heroes: Legacy","Games",0,4,494,107,"17+","10.8.0","apple","Games",0,4.7,"466495",52,"12+","11.7.5","google"
"63","Design Home","Games",0,4.5,23298,166,"4+","1.02.51","apple","Education",0,4.4,"539931",69,"4+","1.11.01","google"
"64","diep.io","Games",0,4,9397,31,"9+","1.2.4","apple","Games",0,4.1,"347883",20,"4+","1.2.7","google"
"65","DIRECTV","Entertainment",0,3.5,81006,144,"4+","4.9.705","apple","Education",0,4.1,"235486",63,"12+","5.9.006","google"
"66","Discord - Chat for Gamers","Social Networking",0,4.5,9152,26,"4+","1.8.7","apple","Utilities",0,4.5,"305347",39,"12+","7.1.8","google"
"67","Disney Crossy Road","Games",0,4.5,38571,179,"4+","2.901.17125","apple","Education",0,4.5,"514088",83,"4+","3.200.18289","google"
"68","Does not Commute","Games",0,4,5645,83,"4+","1.4.0","apple","Games",0,4,"154108",78,"4+","1.4.2","google"
"69","Domino's Pizza USA","Food and Drink",0,5,258624,101,"4+","4.2.0","apple","Food and Drink",0,4.7,"1032935",NA,"4+",NA,"google"
"70","Don't Starve: Pocket Edition","Games",4.99,4,3742,385,"9+","1.10","apple","Games",4.99,4.4,"17988",7.9,"12+","1.06","google"
"71","Don't Starve: Shipwrecked","Games",4.99,3.5,495,604,"9+","1.5","apple","Games",4.99,4.1,"1468",4.9,"12+","0.16","google"
"72","Doodle Jump","Games",0.99,4.5,395261,46,"4+","3.17.6","apple","Games",0,4.3,"1083571",NA,"4+",NA,"google"
"73","DoorDash - Food Delivery","Food and Drink",0,4.5,25947,96,"4+","3.0.18","apple","Food and Drink",0,4.5,"104504",NA,"4+",NA,"google"
"74","Dr. Panda & Toto's Treehouse","Entertainment",3.99,4.5,455,156,"4+","1.8","apple","Education",3.99,4.4,"3396",9.5,"4+","1.8","google"
"75","Dr. Panda Farm","Education",2.99,4,28,94,"4+","1.0","apple","Education",2.99,4.1,"265",46,"4+","1.0","google"
"76","Dr. Panda Hospital","Education",2.99,4,372,398,"4+","1.7","apple","Education",2.99,4.4,"1091",45,"4+","1.6","google"
"77","Dr. Panda Supermarket","Education",2.99,4,342,132,"4+","1.7","apple","Education",2.99,4.2,"1357",58,"4+","1.6","google"
